"Freq [GHz]","cang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg]","cang_deg(S(FloquetPort1:1,FloquetPort1:1))_1 [deg]","cang_deg(S(FloquetPort1:1,FloquetPort1:1))_2 [deg]","cang_deg(S(FloquetPort1:1,FloquetPort1:1))_3 [deg]"
3,130.369201510132,112.583952099723,93.7445417156663,-112.070068712222
3.01,130.034702392714,111.762146824631,92.2122102683223,-114.721115178837
3.02,129.697369963167,110.921876212444,90.6296760459336,-117.239695728921
3.03,129.357165783624,110.062499805436,88.9947641521757,-119.634240877472
3.04,129.014050820176,109.183350651251,87.3052115539589,-121.912661738781
3.05,128.667985433471,108.283734160045,85.5586670629707,-124.082360654075
3.06,128.31892936922,107.362926923501,83.7526921794472,-126.150248853653
3.07,127.966841748599,106.420175496886,81.8847629893733,-128.122768615974
3.08,127.611681058562,105.454695145831,79.9522733382363,-130.005918065593
3.09,127.253405142061,104.465668560166,77.9525395405656,-131.805277267299
3.1,126.891971188178,103.452244537852,75.8828069250095,-133.526034661425
3.11,126.527335722179,102.413536642944,73.7402585596645,-135.173013174548
3.12,126.159454595485,101.348621842516,71.5220265515817,-136.750695554084
3.13,125.788282975578,100.256539128661,69.2252063672097,-138.263248632848
3.14,125.41377533583,99.1362881330274,66.8468746758041,-139.714546344586
3.15,125.03588544528,97.9868277429672,64.3841112735141,-141.108191394448
3.16,124.654566358353,96.8070747301692,61.834025698703,-142.447535547587
3.17,124.269770404533,95.5959024047779,59.1937891943174,-143.735698540536
3.18,123.881449177999,94.3521393104277,56.4606727038758,-144.975585648483
3.19,123.489553527225,93.0745679784154,53.6320915944365,-146.169903960391
3.2,123.094033544566,91.7619237624446,50.7056577700651,-147.321177425709
3.21,122.694838555828,90.4128937790556,47.6792397566592,-148.431760743177
3.22,122.291917109839,89.026115983063,44.5510311835745,-149.503852165257
3.23,121.885216968028,87.6001784121328,41.3196278362362,-150.539505292265
3.24,121.474685094036,86.1336186401183,37.9841130818284,-151.540639928944
3.25,121.06026764335,84.6249234850226,34.5441509532078,-152.509052073749
3.26,120.641909952998,83.0725290245513,31.0000854958188,-153.44642310784
3.27,120.219556531306,81.4748209802738,27.3530441322154,-154.354328247042
3.28,119.793151047737,79.8301355405161,23.6050417931903,-155.234244316081
3.29,119.362636322826,78.1367607023758,19.7590814485611,-156.08755690035
3.3,118.927954318241,76.3929382247848,15.8192455294783,-156.915566926491
3.31,118.489046126969,74.5968662974506,11.7907716986426,-157.719496719159
3.32,118.045851963674,72.7467030448464,7.6801056701298,-158.50049557766
3.33,117.598311155223,70.8405710002585,3.49492351230361,-159.259644912607
3.34,117.146362131424,68.8765627022163,-0.755883706606496,-159.997962979459
3.35,116.689942415993,66.8527475843287,-5.06226878338181,-160.716409242717
3.36,116.228988617771,64.7671803494317,-9.41313438586026,-161.415888401704
