"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort1:1))_1 []","dB(S(FloquetPort1:1,FloquetPort1:1))_2 []","dB(S(FloquetPort1:1,FloquetPort1:1))_3 []"
3,-0.10355127183471,-0.426420138448104,-0.853201002056148,-2.34512733668191
3.01,-0.105502568197813,-0.440991014827274,-0.890371256427715,-2.2462670246843
3.02,-0.107491774220282,-0.456174798198382,-0.929428782088026,-2.15257497670706
3.03,-0.109519643642126,-0.471999503067838,-0.970462448853054,-2.06387853975989
3.04,-0.111586947884013,-0.488494593564742,-1.01356259377398,-1.97997849287218
3.05,-0.113694476408188,-0.505691049244477,-1.05882035223781,-1.90065902017127
3.06,-0.1158430370837,-0.523621431643133,-1.10632681937223,-1.82569541657216
3.07,-0.118033456555872,-0.542319951098581,-1.15617201382144,-1.75485994971719
3.08,-0.120266580619696,-0.561822533240094,-1.20844361314485,-1.68792624038078
3.09,-0.122543274597183,-0.582166884415873,-1.26322542752056,-1.62467246496336
3.1,-0.124864423718313,-0.603392555171897,-1.32059557635549,-1.56488363070994
3.11,-0.127230933505493,-0.625541000715396,-1.38062433114713,-1.50835312802392
3.12,-0.129643730161165,-0.6486556370861,-1.44337158794138,-1.45488372483851
3.13,-0.132103760958496,-0.672781891516742,-1.50888393454671,-1.40428813504891
3.14,-0.13461199463467,-0.697967245184497,-1.57719128198914,-1.35638926582487
3.15,-0.137169421786561,-0.724261266234678,-1.64830303736851,-1.31102022644969
3.16,-0.13977705526846,-0.751715630591292,-1.722203807292,-1.26802416340437
3.17,-0.142435930591467,-0.78038412765075,-1.79884863852658,-1.22725397202898
3.18,-0.145147106324074,-0.810322647480717,-1.87815782661457,-1.1885719236206
3.19,-0.147911664493621,-0.84158914561055,-1.96001135509818,-1.1518492377306
3.2,-0.150730710987938,-0.874243580897566,-2.04424306868969,-1.11696562224636
3.21,-0.153605375956962,-0.908347821281931,-2.13063473378926,-1.08380879820964
3.22,-0.156536814213366,-0.943965511497015,-2.21891019905831,-1.05227402192134
3.23,-0.159526205631889,-0.981161895982787,-2.30872993604482,-1.02226361346206
3.24,-0.162574755546584,-1.02000358935587,-2.39968631225437,-0.993686498112978
3.25,-0.165683695145219,-1.06055828582678,-2.4913000215734,-0.966457765129229
3.26,-0.168854281860114,-1.10289439793149,-2.58301816200368,-0.940498246767702
3.27,-0.172087799754554,-1.14708061387482,-2.67421449786043,-0.915734119298028
3.28,-0.175385559903855,-1.19318536169049,-2.76419245987402,-0.892096526846927
3.29,-0.178748900770173,-1.24127616734031,-2.85219140715946,-0.869521228276733
3.3,-0.18217918856986,-1.29141889284667,-2.93739658486157,-0.847948266826908
3.31,-0.185677817632482,-1.34367683964193,-3.01895304825656,-0.827321661912408
3.32,-0.18924621075009,-1.39810970160382,-3.09598358245902,-0.807589122242076
3.33,-0.192885819515511,-1.45477235183279,-3.16761033154278,-0.788701779270133
3.34,-0.196598124648376,-1.51371344724624,-3.23297948104455,-0.770613939903631
3.35,-0.200384636307287,-1.5749738356764,-3.29128794881478,-0.753282857343604
3.36,-0.204246894386695,-1.63858475156344,-3.34181068097201,-0.736668518926296
3.37,-0.208186468796589,-1.70456578876344,-3.3839268809948,-0.720733449842923
3.38,-0.2122049597235,-1.77292264271961,-3.41714337795999,-0.705442531646835
3.39,-0.216303997870716,-1.8436446195775,-3.44111340739093,-0.690762834497801
3.4,-0.220485244675679,-1.91670191710076,-3.45564935101108,-0.676663462142777
3.41,-0.224750392502581,-1.99204269181157,-3.46072844087143,-0.663115408686449
3.42,-0.229101164807673,-2.06958993897905,-3.45649102464819,-0.650091426260541
3.43,-0.233539316274985,-2.14923822720688,-3.44323163184172,-0.637565902758345
3.44,-0.238066632919831,-2.23085034762351,-3.4213836843179,-0.625514748856453
3.45,-0.242684932157371,-2.31425395909258,-3.39149917697639,-0.613915293600704
3.46,-0.24739606283333,-2.39923833521544,-3.35422495825625,-0.602746187885715
3.47,-0.25220190521388,-2.48555134561791,-3.31027734309738,-0.591987315207419
3.48,-0.257104370931284,-2.57289683204694,-3.26041670510729,-0.581619709115362
3.49,-0.262105402882066,-2.66093256749959,-3.20542345962774,-0.5716254768359
3.5,-0.267206975073962,-2.74926901162161,-3.1460765199738,-0.561987728578916
3.51,-0.272411092417874,-2.83746909484246,-3.08313494256795,-0.552690512079508
3.52,-0.277719790460888,-2.92504927333593,-3.01732312241546,-0.543718751962035
3.53,-0.28313513505597,-3.01148209252389,-2.94931959386698,-0.53505819354683
3.54,-0.28865922196401,-3.09620047387766,-2.87974925279476,-0.526695350751232
3.55,-0.294294176383521,-3.17860389395937,-2.80917865106945,-0.51861745776419
3.56,-0.300042152403052,-3.25806655285293,-2.73811391798455,-0.510812424200525
3.57,-0.305905332371127,-3.33394753030647,-2.66700082499868,-0.503268793464356
3.58,-0.311885926178454,-3.4056028040748,-2.5962265160149,-0.495975704073447
3.59,-0.31798617044663,-3.4723988620862,-2.5261224614619,-0.488922853716657
3.6,-0.324208327617401,-3.53372748852434,-2.4569682484005,-0.482100465834883
3.61,-0.330554684936523,-3.58902115821184,-2.38899588092681,-0.475499258533182
3.62,-0.337027553325598,-3.6377683512587,-2.32239432811016,-0.469110415647324
3.63,-0.343629266135271,-3.67952801905411,-2.25731411583356,-0.462925559802133
3.64,-0.35036217777283,-3.71394240945662,-2.19387181143723,-0.456936727312309
3.65,-0.357228662197008,-3.74074750424005,-2.13215429474275,-0.451136344788451
3.66,-0.364231111272439,-3.75978043808442,-2.07222274564614,-0.445517207321579
3.67,-0.371371932976161,-3.77098344849429,-2.0141163074724,-0.440072458130159
3.68,-0.378653549447891,-3.77440413321926,-1.95785540750819,-0.434795569562266
3.69,-0.386078394876234,-3.77019204184342,-1.90344473257084,-0.429680325354428
3.7,-0.393648913211884,-3.75859187334833,-1.85087586914248,-0.424720804056162
3.71,-0.401367555699443,-3.73993376474609,-1.80012962545626,-0.419911363536428
